child_col,parent_pk,child_nonnull_unique,orphan_unique,orphan_sample,child_table,parent_table
customer_type_id,customer_type_id,3,0,[],customers,customer_types
address_id,address_id,720,0,[],customers,addresses
address_id,address_id,50,0,[],branches,addresses
customer_id,customer_id,862,0,[],accounts,customers
account_type_id,account_type_id,5,0,[],accounts,account_types
account_status_id,account_status_id,3,0,[],accounts,account_statuses
account_id,account_id,298,0,[],loans,accounts
loan_status_id,loan_status_id,3,0,[],loans,loan_statuses
account_origin_id,account_id,1651,0,[],transactions,accounts
account_destination_id,account_id,1651,0,[],transactions,accounts
transaction_type_id,transaction_type_id,4,0,[],transactions,transaction_types
branch_id,branch_id,50,0,[],transactions,branches
