LoanID,AccountID,LoanStatusID,PrincipalAmount,InterestRate,StartDate,EstimatedEndDate
400230,200876,1,76958.56,0.0547,00:00.0,00:00.0
400307,200789,1,29013.67,0.0321,00:00.0,00:00.0
400233,201275,1,48596.76,0.1017,00:00.0,00:00.0
400100,200070,1,9191.43,0.0999,00:00.0,00:00.0
400141,200808,1,76322.83,0.0906,00:00.0,00:00.0
400320,201246,2,93715.1,0.0784,00:00.0,00:00.0
400267,200148,1,19627.15,0.0864,00:00.0,00:00.0
400317,201509,2,40473.32,0.1276,00:00.0,00:00.0
400323,200934,1,41206.98,0.1411,00:00.0,00:00.0
400034,200404,1,97362.97,0.1145,00:00.0,00:00.0
400237,200397,3,78955.6,0.0312,00:00.0,00:00.0
400072,201573,1,5446.88,0.1015,00:00.0,00:00.0
400153,201498,1,87408.64,0.0855,01:44.3,00:00.0
400194,200907,2,47361.17,0.0562,00:00.0,00:00.0
400156,201015,1,86224.07,0.1479,00:00.0,00:00.0
400290,200660,1,41039.33,0.0914,00:00.0,00:00.0
400053,200900,2,68008.02,0.086,00:00.0,00:00.0
400079,201254,1,94432.05,0.0512,00:00.0,00:00.0
400278,201187,1,88397.27,0.1002,00:00.0,00:00.0
400120,200849,1,6931.92,0.0381,00:00.0,00:00.0
400017,201263,1,62585.34,0.1008,00:00.0,00:00.0
400226,201525,1,31038.04,0.139,00:00.0,00:00.0
400300,200592,1,28348.12,0.1141,00:00.0,00:00.0
400130,200113,2,37599.36,0.1106,00:00.0,00:00.0
400191,200701,1,83515.17,0.0796,00:00.0,00:00.0
400181,201394,2,60739.7,0.0336,00:00.0,00:00.0
400140,201276,1,88432.42,0.0675,00:00.0,00:00.0
400041,200123,3,63515.6,0.0754,00:00.0,00:00.0
400024,201126,2,81509.04,0.0846,00:00.0,00:00.0
400095,200694,1,99830.33,0.143,00:00.0,00:00.0
400328,201273,1,16019.02,0.1067,00:00.0,00:00.0
400143,201218,1,4806.2,0.0899,00:00.0,00:00.0
400202,201346,1,16092.64,0.0976,00:00.0,00:00.0
400111,201428,1,87544.32,0.0655,00:00.0,00:00.0
400006,200822,2,28952.23,0.0345,00:00.0,00:00.0
400262,201288,1,46195.74,0.1118,00:00.0,00:00.0
400302,200932,1,76955.79,0.1077,00:00.0,00:00.0
400198,201044,1,26204.77,0.1407,00:00.0,00:00.0
400304,200311,1,5763.32,0.1186,00:00.0,00:00.0
400126,201381,1,80854.81,0.1319,00:00.0,00:00.0
400101,200346,1,83796.69,0.1315,00:00.0,00:00.0
400177,200177,2,10195.48,0.0953,00:00.0,00:00.0
400090,201578,1,18048.87,0.0678,00:00.0,00:00.0
400032,200333,1,82144.49,0.132,00:00.0,00:00.0
400039,200466,1,72665.87,0.1324,00:00.0,00:00.0
400076,200005,1,27208.83,0.0873,00:00.0,00:00.0
400265,201477,1,52160.39,0.0984,00:00.0,00:00.0
400303,200252,1,41063.62,0.0579,00:00.0,00:00.0
400182,200087,2,87988.21,0.0612,00:00.0,00:00.0
400296,200335,1,64568.16,0.0476,00:00.0,00:00.0
400306,201149,3,44352.65,0.0327,00:00.0,00:00.0
400179,200715,1,95797.71,0.1006,00:00.0,00:00.0
400261,201449,3,59380.52,0.0677,00:00.0,00:00.0
400069,201265,1,47566.87,0.1065,00:00.0,00:00.0
400083,200846,1,35657.3,0.0748,00:00.0,00:00.0
400301,200075,1,27657.83,0.048,00:00.0,00:00.0
400189,200689,1,2117.59,0.0329,00:00.0,00:00.0
400246,201249,1,74412.22,0.1066,00:00.0,00:00.0
400251,200119,1,75297.62,0.0918,00:00.0,00:00.0
400119,200802,3,41375.81,0.0703,00:00.0,00:00.0
400321,200312,1,1396.1,0.1229,00:00.0,00:00.0
400062,201073,1,79515.81,0.1193,00:00.0,00:00.0
400282,200498,1,73755.24,0.048,00:00.0,00:00.0
400160,201504,1,23193.37,0.1402,00:00.0,00:00.0
400291,200343,1,40879.03,0.0473,00:00.0,00:00.0
400308,201515,2,76525.78,0.1099,00:00.0,00:00.0
400324,200598,1,83919.49,0.1321,00:00.0,00:00.0
400200,201599,1,35902.5,0.0358,00:00.0,00:00.0
400285,200270,3,14857.72,0.0731,00:00.0,00:00.0
400009,201103,1,82121.58,0.0766,00:00.0,00:00.0
400020,200017,1,89097.17,0.1232,00:00.0,00:00.0
400112,201077,2,7431.11,0.0634,00:00.0,00:00.0
400295,200050,2,54953.1,0.0674,00:00.0,00:00.0
400244,200420,1,34846.6,0.0816,00:00.0,00:00.0
400254,200785,1,87783.19,0.108,00:00.0,00:00.0
400057,201317,2,83339.02,0.0924,00:00.0,00:00.0
400019,201054,1,17917.14,0.0362,00:00.0,00:00.0
400001,201103,1,63899,0.0793,00:00.0,00:00.0
400180,201470,1,38913.5,0.1236,00:00.0,00:00.0
400010,200002,1,42380.44,0.0809,00:00.0,00:00.0
400108,200846,2,27885.31,0.103,00:00.0,00:00.0
400175,200310,2,16484.84,0.0329,00:00.0,00:00.0
400174,200119,1,83659.7,0.0693,00:00.0,00:00.0
400151,201643,1,99063.01,0.0682,00:00.0,00:00.0
400293,200851,1,70782.7,0.0847,00:00.0,00:00.0
400313,200812,1,35479.87,0.1219,00:00.0,00:00.0
400187,201022,1,1473.13,0.0947,00:00.0,00:00.0
400149,201143,2,99065.5,0.0484,00:00.0,00:00.0
400222,200427,1,3322.19,0.1456,00:00.0,00:00.0
400048,201489,1,99830.19,0.1134,00:00.0,00:00.0
400040,200648,2,11854.46,0.0725,00:00.0,00:00.0
400124,200063,3,89209.9,0.0429,00:00.0,00:00.0
400268,200514,2,8523.16,0.0305,00:00.0,00:00.0
400007,200255,2,64001.15,0.0792,00:00.0,00:00.0
400104,201597,2,36389.88,0.0511,00:00.0,00:00.0
400094,201223,3,7563.51,0.0422,00:00.0,00:00.0
400096,201433,1,58140.94,0.0817,00:00.0,00:00.0
400148,200716,1,17620.82,0.0488,00:00.0,00:00.0
400255,201629,1,27852.86,0.064,00:00.0,00:00.0
400116,200637,2,8683.56,0.1288,00:00.0,00:00.0
400247,200116,2,43125.92,0.0992,00:00.0,00:00.0
400234,200817,2,38023.02,0.1116,00:00.0,00:00.0
400085,200315,1,35193.45,0.1363,00:00.0,00:00.0
400256,200663,1,84671.11,0.0678,00:00.0,00:00.0
400058,200883,1,50198.39,0.0968,00:00.0,00:00.0
400137,200101,2,89648.09,0.1181,00:00.0,00:00.0
400070,200676,3,28930.44,0.1018,00:00.0,00:00.0
400117,200262,1,59673.83,0.1411,00:00.0,00:00.0
400216,200003,1,57741.55,0.0734,00:00.0,00:00.0
400203,200770,1,14254.2,0.0964,00:00.0,00:00.0
400049,200684,1,8876.03,0.094,00:00.0,00:00.0
400033,201128,1,13516.43,0.0991,00:00.0,00:00.0
400196,201336,1,78063.86,0.1359,00:00.0,00:00.0
400106,200834,1,11879.52,0.088,00:00.0,00:00.0
400050,200578,1,79026.18,0.0883,00:00.0,00:00.0
400299,201121,1,27223.9,0.0417,00:00.0,00:00.0
400114,201541,3,55584.62,0.1377,00:00.0,00:00.0
400232,200683,2,30825.35,0.1469,00:00.0,
400121,200360,1,16268.74,0.0609,00:00.0,00:00.0
400107,200498,1,68503.05,0.1277,00:00.0,00:00.0
400035,201081,2,50421.73,0.0681,00:00.0,00:00.0
400123,200717,1,64860.93,0.0919,00:00.0,00:00.0
400051,200946,1,58822.33,0.1198,00:00.0,00:00.0
400158,200223,1,38787.45,0.1085,00:00.0,00:00.0
400309,200157,1,47661.39,0.0686,00:00.0,00:00.0
400133,200391,3,87987.99,0.0402,00:00.0,00:00.0
400224,201172,2,78661.15,0.1195,00:00.0,00:00.0
400003,200512,1,15797.11,0.0636,00:00.0,00:00.0
400318,200941,2,43704.85,0.0446,00:00.0,
400314,200982,1,74680.25,0.087,,00:00.0
400322,201361,1,79157.89,0.1236,00:00.0,00:00.0
